Auxílio à pesquisa em andamento,Auxílio à pesquisa concluído,Bolsa no país em andamento,Bolsa no país concluída,Bolsa no Exterior em andamento,Bolsa no exterior concluída,x
0,1328064.180000001,0,1677910.43,0,141414.71,1992
0,9961969.870000001,0,6858694.439999998,0,1391202.46,1993
0,33234820.57,0,12162237.509999989,0,2753162.5200000005,1994
0,116281025.69999984,0,26533654.900000006,0,4944123.509999998,1995
0,247774072.30000037,0,64566865.610000014,0,8415590.41,1996
0,214345632.32999986,0,104664985.20000005,0,9287158.669999998,1997
0,204065730.1399997,0,152064136.6699999,0,17699230.07000001,1998
0,325560345.91999966,0,168197599.76000014,0,17691512.890000008,1999
0,518759510.82000095,0,193975017.2699999,0,13865754.900000002,2000
0,237805742.6999999,0,134511835.47000003,0,6239515.910000001,2001
0,208404627.17999995,0,139246620.21000016,0,3595418.93,2002
0,176670177.20000005,0,131989181.16999996,0,3128502.65,2003
0,222981687.01000005,0,146372097.14999986,0,3221174.87,2004
0,281801496.9599998,0,147740540.43000013,0,2844032.6100000003,2005
0,342027704.20000005,0,213590753.6599999,0,3440749.3800000004,2006
0,310264676.62,0,232448756.89000118,0,3666433.9400000004,2007
0,364382438.52999985,0,253058232.59999967,0,3736287.14,2008
0,473661815.68999964,0,279165451.48999983,0,2751697.459999999,2009
0,584341724.8399999,0,340617429.46000093,0,5676492.710000001,2010
0,536702085.5798999,0,389936560.56000006,0,7703725.220000001,2011
2533482.67,557265130.5499997,0,439746245.3600004,0,36047198.17,2012
579860353.4,543390654.9588006,0,439008721.30999875,0,63643029.68,2013
206706119.58,537525095.1792,0,390421055.00999844,0,84789841.84,2014
66620225.18000001,487663737.42999995,0,300975384.909999,0,107490293.55000004,2015
133988629.56,408073414.9400001,7420490.37,332583580.2900008,0,99606051.85,2016
321171883.5599998,279640934.2099998,57328026.690000005,325304577.3799999,0,104944859.66,2017
351042321.87000006,308881571.1500001,171527582.08000004,247294653.88000023,0,126247032.94,2018
449004020.65999985,153000321.3500001,245788282.81000048,150085591.50999975,0,157006474.88000005,2019
435863702.2100001,71590730.47000003,219168099.4299999,43228347.66999989,2239504.26,58475108.45000003,2020
390337408.9499999,5103697.360000001,222306147.2599988,3491323.9899999993,54623610.02,2502177.7700000005,2021
