x,Apple,Google,Amazon,Microsoft,IBM,Facebook
2015-08-11,113.489998,690.299988,527.460022,46.41,155.509995,93.620003
2015-08-10,119.720001,663.140015,524,47.330002,156.75,94.150002
2015-08-07,115.519997,664.390015,522.619995,46.740002,155.119995,94.300003
2015-08-06,115.129997,670.150024,529.460022,46.619999,156.320007,95.120003
2015-08-05,115.400002,673.289978,537.01001,47.580002,157.899994,96.440002
2015-08-04,114.639999,661.280029,531.900024,47.540001,157.600006,94.059998
2015-08-03,118.440002,664.719971,535.030029,46.810001,158.710007,94.139999
2015-07-31,121.300003,657.5,536.150024,46.700001,161.990005,94.010002
2015-07-30,122.370003,664.559998,536.76001,46.880001,160.960007,95.209999
2015-07-29,122.989998,661.429993,529,46.290001,161.089996,96.989998
2015-07-28,123.379997,659.659973,526.030029,45.34,160.050003,95.290001
2015-07-27,122.769997,658.27002,531.409973,45.349998,159.070007,94.169998
2015-07-24,124.5,654.77002,529.419983,45.939999,159.75,96.949997
2015-07-23,125.160004,674.72998,482.179993,46.110001,161.729996,95.440002
2015-07-22,125.220001,695.099976,488.269989,45.540001,160.350006,97.040001
2015-07-21,130.75,695.349976,488,47.279999,163.070007,98.389999
2015-07-20,132.070007,692.840027,488.100006,46.919998,173.220001,97.910004
2015-07-17,129.619995,699.619995,483.01001,46.619999,172.509995,94.970001
2015-07-16,128.509995,601.780029,475.480011,46.66,171,90.849998
2015-07-15,126.82,583.960022,461.190002,45.759998,168.529999,89.760002
2015-07-14,125.610001,584.179993,465.570007,45.619999,168.610001,89.68
2015-07-13,125.660004,571.72998,455.570007,45.540001,169.380005,90.099998
2015-07-10,123.279999,556.109985,443.51001,44.610001,166.949997,87.949997
2015-07-09,120.07,544.650024,434.390015,44.52,163.850006,85.879997
2015-07-08,122.57,541.700012,429.700012,44.240002,163.160004,85.650002
2015-07-07,125.690002,550.030029,436.720001,44.299999,165,87.220001
2015-07-06,126,545.619995,436.040009,44.389999,164.729996,87.550003
2015-07-02,126.440002,547.340027,437.709991,44.400002,165.089996,87.290001
2015-07-01,126.599998,543.299988,437.390015,44.450001,164.490005,86.910004
2015-06-30,125.43,540.039978,434.089996,44.150002,162.660004,85.769997
2015-06-29,124.529999,541.25,429.859985,44.369999,162.970001,85.800003
