name,x,y
AC,2020-12-27,2
AC,2021-01-03,4
AC,2021-01-10,6
AC,2021-01-17,1
AC,2021-01-24,7
AC,2021-01-31,5
AC,2021-02-07,4
AC,2021-02-14,5
AC,2021-02-21,4
AC,2021-02-28,5
AC,2021-03-07,3
AC,2021-03-14,5
AC,2021-03-21,8
AC,2021-03-28,1
AC,2021-04-04,4
AC,2021-04-11,6
AC,2021-04-18,3
AC,2021-04-25,2
AC,2021-05-02,8
AC,2021-05-09,6
AC,2021-05-16,2
AC,2021-05-23,3
AC,2021-05-30,4
AC,2021-06-06,3
AC,2021-06-13,9
AC,2021-06-20,10
AC,2021-06-27,1
AL,2020-12-27,3
AL,2021-01-03,14
AL,2021-01-10,15
AL,2021-01-17,11
AL,2021-01-24,9
AL,2021-01-31,14
AL,2021-02-07,11
AL,2021-02-14,8
AL,2021-02-21,10
AL,2021-02-28,9
AL,2021-03-07,19
AL,2021-03-14,12
AL,2021-03-21,14
AL,2021-03-28,11
AL,2021-04-04,5
AL,2021-04-11,10
AL,2021-04-18,7
AL,2021-04-25,12
AL,2021-05-02,12
AL,2021-05-09,12
AL,2021-05-16,10
AL,2021-05-23,11
AL,2021-05-30,14
AL,2021-06-06,8
AL,2021-06-13,10
AL,2021-06-20,8
AL,2021-06-27,2
AM,2020-12-27,1
AM,2021-01-03,2
AM,2021-01-10,2
AM,2021-01-17,1
AM,2021-01-24,1
AM,2021-02-07,2
AM,2021-02-14,2
AM,2021-02-21,1
AM,2021-02-28,2
AM,2021-03-07,2
AM,2021-03-14,2
AM,2021-03-21,3
AM,2021-03-28,5
AM,2021-04-04,2
AM,2021-04-11,1
AM,2021-04-18,3
AM,2021-04-25,1
AM,2021-05-02,3
AM,2021-05-09,3
AM,2021-05-16,2
AM,2021-05-30,1
AM,2021-06-06,3
AM,2021-06-13,2
AM,2021-06-20,4
AM,2021-06-27,1
AP,2020-12-27,4
AP,2021-01-03,3
AP,2021-01-10,3
AP,2021-01-17,2
AP,2021-01-24,3
AP,2021-01-31,1
AP,2021-02-07,9
AP,2021-02-14,3
AP,2021-02-21,4
AP,2021-02-28,1
AP,2021-03-14,2
AP,2021-03-21,3
AP,2021-03-28,1
AP,2021-04-04,4
AP,2021-04-11,3
AP,2021-04-18,3
AP,2021-04-25,2
AP,2021-05-02,6
AP,2021-05-09,2
AP,2021-05-16,6
AP,2021-05-23,3
AP,2021-05-30,3
AP,2021-06-06,6
AP,2021-06-13,5
AP,2021-06-27,1
BA,2020-12-27,33
BA,2021-01-03,51
BA,2021-01-10,78
BA,2021-01-17,60
BA,2021-01-24,81
BA,2021-01-31,77
BA,2021-02-07,57
BA,2021-02-14,75
BA,2021-02-21,43
BA,2021-02-28,61
BA,2021-03-07,58
BA,2021-03-14,58
BA,2021-03-21,42
BA,2021-03-28,58
BA,2021-04-04,71
BA,2021-04-11,66
BA,2021-04-18,68
BA,2021-04-25,60
BA,2021-05-02,79
BA,2021-05-09,52
BA,2021-05-16,79
BA,2021-05-23,68
BA,2021-05-30,62
BA,2021-06-06,67
BA,2021-06-13,71
BA,2021-06-20,64
BA,2021-06-27,24
CE,2020-12-27,13
CE,2021-01-03,27
CE,2021-01-10,26
CE,2021-01-17,26
CE,2021-01-24,33
CE,2021-01-31,41
CE,2021-02-07,32
CE,2021-02-14,29
CE,2021-02-21,24
CE,2021-02-28,26
CE,2021-03-07,28
CE,2021-03-14,17
CE,2021-03-21,26
CE,2021-03-28,27
CE,2021-04-04,25
CE,2021-04-11,20
CE,2021-04-18,25
CE,2021-04-25,25
CE,2021-05-02,32
CE,2021-05-09,38
CE,2021-05-16,28
CE,2021-05-23,23
CE,2021-05-30,25
CE,2021-06-06,29
CE,2021-06-13,29
CE,2021-06-20,30
CE,2021-06-27,10
DF,2020-12-27,10
DF,2021-01-03,11
DF,2021-01-10,21
DF,2021-01-17,25
DF,2021-01-24,25
DF,2021-01-31,30
DF,2021-02-07,15
DF,2021-02-14,19
DF,2021-02-21,21
DF,2021-02-28,16
DF,2021-03-07,14
DF,2021-03-14,10
DF,2021-03-21,12
DF,2021-03-28,17
DF,2021-04-04,19
DF,2021-04-11,17
DF,2021-04-18,16
DF,2021-04-25,16
DF,2021-05-02,18
DF,2021-05-09,16
DF,2021-05-16,20
DF,2021-05-23,22
DF,2021-05-30,18
DF,2021-06-06,25
DF,2021-06-13,17
DF,2021-06-20,18
DF,2021-06-27,8
ES,2020-12-27,26
ES,2021-01-03,42
ES,2021-01-10,58
ES,2021-01-17,48
ES,2021-01-24,51
ES,2021-01-31,49
ES,2021-02-07,55
ES,2021-02-14,37
ES,2021-02-21,45
ES,2021-02-28,50
ES,2021-03-07,49
ES,2021-03-14,45
ES,2021-03-21,40
ES,2021-03-28,47
ES,2021-04-04,52
ES,2021-04-11,51
ES,2021-04-18,52
ES,2021-04-25,40
ES,2021-05-02,52
ES,2021-05-09,59
ES,2021-05-16,56
ES,2021-05-23,59
ES,2021-05-30,55
ES,2021-06-06,52
ES,2021-06-13,41
ES,2021-06-20,40
ES,2021-06-27,25
GO,2020-12-27,24
GO,2021-01-03,63
GO,2021-01-10,55
GO,2021-01-17,62
GO,2021-01-24,61
GO,2021-01-31,86
GO,2021-02-07,76
GO,2021-02-14,63
GO,2021-02-21,47
GO,2021-02-28,53
GO,2021-03-07,49
GO,2021-03-14,49
